generation,ev,No.1,No.2,No.3,No.4,No.5,No.6,No.7,No.8,No.9,No.10,No.11,No.12,No.13,No.14,No.15,No.16,No.17,No.18,No.19,No.20
0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0
0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1
0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1
0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1
0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1
0,1465,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0
0,4486,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1
0,2919,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1
0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0
0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0
0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1
0,2817,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1
0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1
0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0
0,3352,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
0,3113,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0
0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0
0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0
0,2416,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0
0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1
0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0
1,4364,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1
1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1
1,3502,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1
1,2759,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0
1,3714,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1
1,958,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2924,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
1,1817,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0
1,2465,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0
1,1401,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,4486,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1
1,2817,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1
1,2416,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
1,1465,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0
2,2522,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0
2,3716,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1
2,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0
2,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1
2,4671,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
2,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1
2,1739,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0
2,2759,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0
2,1608,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
2,2475,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0
2,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1
2,2117,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0
2,4486,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1
2,1465,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0
2,2759,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0
2,2817,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1
3,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1
3,1784,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1
