generation,ev,No.1,No.2,No.3,No.4,No.5,No.6,No.7,No.8,No.9,No.10,No.11,No.12,No.13,No.14,No.15,No.16,No.17,No.18,No.19,No.20
0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1
0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1
0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0
0,2965,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,1618,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0
0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0
0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0
0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1
0,3230,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0
0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1
0,3098,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1
0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1
0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0
0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1
0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1
0,4386,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1
0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0
0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1
0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1
0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1
0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1
1,2724,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1
1,4386,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1
1,4386,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1
1,4392,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1
1,4027,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
1,3650,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1
1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0
1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
1,2896,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1
1,4027,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
1,4386,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1
1,2965,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1,4386,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1
1,3230,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
2,4202,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1
2,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1
2,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1
2,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1
2,3728,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
2,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
2,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1
2,3369,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
2,3951,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1
2,3650,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1
2,4027,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
2,3466,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1
2,4392,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1
2,4386,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1
2,4027,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
2,3650,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1
3,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1
3,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1
3,3728,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
3,4392,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1
3,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1
3,3656,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1
3,4027,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
3,4386,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1
3,3372,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
3,3650,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1
3,4417,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1
3,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1
3,4392,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1
3,4027,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
3,4386,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1
3,3466,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1
4,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1
4,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0
4,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1
4,3542,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
4,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1
4,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1
4,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1
4,4026,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1
4,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1
4,3843,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
4,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1
4,4830,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
4,4417,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1
4,4417,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1
4,4386,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1
4,4027,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
5,3843,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
5,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1
5,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1
5,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1
5,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1
5,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1
5,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1
5,3147,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
5,4417,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1
5,4202,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1
5,3843,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
5,4202,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1
5,4830,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
5,4417,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1
5,3843,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
5,4417,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1
6,4830,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
6,4830,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
6,3843,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
6,4830,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
6,3843,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
6,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1
6,4072,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
6,4172,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
6,3843,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
6,5189,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
6,3843,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
6,4202,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1
6,4830,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
6,4830,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
6,3843,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
6,4202,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1
7,3861,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1
7,4830,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
7,5189,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
7,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1
7,3906,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0
7,4830,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
7,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1
7,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1
7,4830,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
7,4172,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
7,4830,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
7,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1
7,5189,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
7,4172,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
7,4830,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
7,4830,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
8,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1
8,4754,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1
8,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1
8,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1
8,5189,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
8,4395,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1
8,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1
8,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
8,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
8,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0
8,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1
8,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1
8,5189,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
8,5189,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
8,5189,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
8,4830,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
9,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
9,3802,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
9,4529,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1
9,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
9,4283,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1
9,4654,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1
9,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0
9,4386,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1
9,4395,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1
9,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1
9,4754,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1
9,4395,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1
9,5189,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
9,4830,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1
