generation,ev,No.1,No.2,No.3,No.4,No.5,No.6,No.7,No.8,No.9,No.10,No.11,No.12,No.13,No.14,No.15,No.16,No.17,No.18,No.19,No.20
0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0
0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1
0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1
0,3799,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1
0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0
0,3538,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1
0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1
0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1
0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1
0,2117,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0
0,3446,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0
0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1
0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0
0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1
0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1
0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1
0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1
0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0
0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0
0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0
0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0
0,4270,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1
0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0
0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1
1,4270,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1
1,3147,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1
1,4156,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1
1,2395,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1
1,4124,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
1,2626,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1
1,4270,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
1,4270,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
1,3538,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1
1,3799,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1
2,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1
2,3086,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
2,4270,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
2,4270,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
2,3835,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
2,3882,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
2,3257,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1
2,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1
2,3217,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
2,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1
2,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1
2,4308,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1
2,4270,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
2,2626,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
2,4270,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
2,4124,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
3,4124,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
3,3349,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1
3,3689,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
3,3985,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1
3,4300,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1
3,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1
3,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1
3,3996,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1
3,2743,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0
3,4270,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
3,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
3,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
3,4308,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1
3,4270,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
3,3835,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
3,4270,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1
4,4331,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4,3790,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
4,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1
4,3165,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
