round,generation,ev,weight,No.1,No.2,No.3,No.4,No.5,No.6,No.7,No.8,No.9,No.10,No.11,No.12,No.13,No.14,No.15,No.16,No.17,No.18,No.19,No.20
,,,,68,58,77,53,60,92,31,71,58,20,14,22,76,52,24,95,41,37,97,20
0,999,5980,399,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1
1,999,5980,399,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1
2,999,5980,399,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1
3,999,5980,399,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1
4,999,5980,399,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1
5,999,5980,399,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1
6,999,5980,399,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1
7,999,5980,399,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1
8,999,5980,399,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1
9,999,5980,399,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1
