generation,maxEv,aveEv,aveEvNotOne
0,4270,614.036,3434
1,4270,2287.56,3659.5
2,4308,2838.69,3784.58
3,4802,3246.5,3995.46
4,4802,3401.75,3887.57
5,4802,3071.31,3779.85
6,4802,3570.06,4079.93
7,4802,3535.75,4040.71
8,4802,3489.81,3988.21
9,4858,3063.88,3501.43
10,4858,3336.44,3558.8
11,4858,3001,3693.31
12,4858,3274.56,3742.21
13,4952,3672.62,4197.14
14,4952,3476.56,3708.27
15,4952,2935.62,4269.55
16,4952,2448,4351.22
17,5320,3487.44,4292
18,5320,3801.5,4678.54
19,5320,3661.12,4505.77
20,5320,3754.56,4620.77
21,5320,3217.38,4679.36
22,5545,3589.19,4785.25
23,5545,3908.81,4467.07
24,5545,3641.19,4481.23
25,5545,3393.44,4524.25
26,5755,4236.25,4841.29
27,5755,3727.44,4587.38
28,5755,3932.62,4839.92
29,5755,4572.19,4572.19
30,5755,3349.81,4872
31,5755,3856.75,5142
32,5755,4450.19,4746.8
33,5755,3509.06,5103.64
34,5800,3708.94,4944.92
35,5800,4481.62,5121.71
36,5800,3705.75,5389.73
37,5800,4093.25,5037.62
38,5800,3406.19,4954
39,5800,3958.19,4871.38
40,5800,4292.44,4578.53
41,5800,3764.94,4633.54
42,5800,3361.19,4481.25
43,5800,3918.5,4822.54
44,5800,3563.44,5182.73
45,5800,4271.19,5256.62
46,5800,4111.81,5060.46
47,5800,4045.75,5394
48,5800,4292.06,5282.31
49,5800,4344,5346.23
50,5800,3642.94,5298.36
51,5800,3821.38,5094.83
52,5800,4267.31,5251.85
53,5800,4729.62,5405.14
54,5800,4050.94,5400.92
55,5800,3603.12,5240.45
56,5800,4216.31,5189.08
57,5800,3768.62,5024.5
58,5800,4636.88,4945.93
59,5800,3462.19,4615.92
60,5800,4827.31,4827.31
61,5800,3856.94,5142.25
62,5800,3821.31,5094.75
63,5800,2975.62,5289.22
64,5800,4372.31,5381.08
65,5800,4155.31,5114
66,5800,3169.56,5070.7
67,5800,3962.81,5283.42
68,5800,2905.31,5164.22
69,5800,3900,5199.67
70,5800,3427.62,5483.6
71,5800,4737.31,5413.93
72,5800,3799.75,5526.45
73,5800,3970.69,5775.09
74,5800,3900.19,5672.55
75,5800,3951.06,5267.75
76,5800,3920.19,5226.58
77,5800,3518.25,5628.6
